"","police_call_crime","police_call_address_display","police_call_date","block","street","address","longitude","latitude"
"2339","Larceny","4700  Onondaga Blvd","7/25/2016",4700,"ONONDAGA BLVD","4700  ONONDAGA BLVD ",-76.193647069205,43.0323248226591
"2340","Larceny","500  Cumberland Av","7/25/2016",500,"CUMBERLAND AVE","500  CUMBERLAND AV ",-76.1127916672731,43.0371129086868
"2341","Larceny","500  Plum St","7/25/2016",500,"PLUM ST","500  PLUM ST ",-76.1596677583834,43.0557316630939
"2342","Larceny","600  W  Onondaga St","7/25/2016",600,"W ONONDAGA ST","600  W  ONONDAGA ST ",-76.1592012143724,43.0392749303147
"2343","Larceny","800  Meadowbrook Dr","7/25/2016",800,"MEADOWBROOK DR","800  MEADOWBROOK DR ",-76.1135845295297,43.0316213829772
"2344","Vehicle theft","200  N  Geddes St","7/25/2016",200,"N GEDDES ST","200  N  GEDDES ST ",-76.1707011902955,43.0501479117892
"2345","Vehicle theft","300  Turtle St","7/25/2016",300,"TURTLE ST","300  TURTLE ST ",-76.1605990820305,43.0679871087858
"2346","Vehicle theft","600  Court St","7/25/2016",600,"COURT ST","600  COURT ST ",-76.1564227239895,43.0708033657869
"2347","Aggravated assault","100  W  Fayette St","7/24/2016",100,"W FAYETTE ST","100  W  FAYETTE ST ",-76.1522226474308,43.0486918177446
"2348","Aggravated assault","200  W  Beard Av","7/24/2016",200,"W BEARD AVE","200  W  BEARD AV ",-76.1480571080974,43.0265045777677
"2349","Arson","700  Tully St","7/24/2016",700,"TULLY ST","700  TULLY ST ",-76.1660162341024,43.0438533247549
"2350","Burglary","100  Valley View Dr","7/24/2016",100,"VALLEY VIEW DR","100  VALLEY VIEW DR ",-76.156719439619,43.0098806333904
"2351","Burglary","200  Fayette Blvd","7/24/2016",200,"FAYETTE BLVD","200  FAYETTE BLVD ",-76.100207748265,43.0491066330186
"2352","Burglary","800  E  Division St","7/24/2016",800,"E DIVISION ST","800  E  DIVISION ST ",-76.1472895563249,43.0656392686374
"2353","Larceny","1200  W  Genesee St","7/24/2016",1200,"W GENESEE ST","1200  W  GENESEE ST ",-76.1753543172742,43.0534476053649
"2354","Larceny","200  Coleridge Av","7/24/2016",200,"COLERIDGE AVE","200  COLERIDGE AV ",-76.1799472673506,43.0455079541346
"2355","Larceny","200  Slocum Av","7/24/2016",200,"SLOCUM AVE","200  SLOCUM AV ",-76.1613253230044,43.0408024053956
"2356","Larceny","200  W  Fayette St","7/24/2016",200,"W FAYETTE ST","200  W  FAYETTE ST ",-76.1535626752591,43.0486947955081
"2357","Larceny","300  Essex St","7/24/2016",300,"ESSEX ST","300  ESSEX ST ",-76.1967475061479,43.0552434705124
"2358","Larceny","300  Montgomery St","7/24/2016",300,"MONTGOMERY ST","300  MONTGOMERY ST ",-76.1493183522374,43.048652384225
"2359","Larceny","400  Robineau Rd","7/24/2016",400,"ROBINEAU RD","400  ROBINEAU RD ",-76.1706358051872,43.0211194072949
"2360","Larceny","500  Euclid Av","7/24/2016",500,"EUCLID AVE","500  EUCLID AV ",-76.12566362853,43.0364835460614
"2361","Larceny","700  Ackerman Av","7/24/2016",700,"ACKERMAN AVE","700  ACKERMAN AV ",-76.1245415383764,43.0382600589614
"2362","Robbery","100  W  Adams St","7/24/2016",100,"W ADAMS ST","100  W  ADAMS ST ",-76.1515370003899,43.0427677089425
"2363","Vehicle theft","700  Park Av","7/24/2016",700,"PARK AVE","700  PARK AV ",-76.1706249848505,43.0519771562028
